名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
326,佳木斯大学,黑龙江,综合,61.56,60.23,63.18,60,应用型,-,-
329,长春工业大学,吉林,理工,61.55,60.21,63.15,60.16,应用型,-,-
329,北方工业大学,北京,理工,61.55,60.26,63.08,60.16,应用型,-,-
329,福建中医药大学,福建,医药,61.55,60.31,63.04,60.16,应用型,-,-
329,外交学院,北京,语言,61.55,60.06,63.2,60.49,专业型,4星级,中国高水平大学
333,绍兴文理学院,浙江,师范,61.54,60.35,62.98,60.16,应用型,-,-
333,西安工程大学,陕西,理工,61.54,60.2,63.14,60.16,应用型,-,-
333,四川理工学院,四川,理工,61.54,60.02,62.96,61.64,应用型,-,-
336,赣南师范学院,江西,师范,61.53,60.29,63.02,60.16,应用型,-,-
336,喀什师范学院,新疆,师范,61.53,60.04,62.91,61.64,应用型,-,-
338,安徽工程大学,安徽,理工,61.52,60.13,63.04,60.61,应用型,-,-
338,临沂大学,山东,师范,61.52,60.28,62.95,60.44,应用型,-,-
338,西南民族大学,四川,民族,61.52,60.47,62.84,60.16,应用型,-,-
338,西南林业大学,云南,林业,61.52,60.18,63.06,60.33,应用型,-,-
338,湖南工业大学,湖南,理工,61.52,60.19,63.09,60.16,应用型,-,-
338,泸州医学院,四川,医药,61.52,60.2,63.08,60.16,应用型,-,-
338,齐齐哈尔大学,黑龙江,综合,61.52,60.18,63.13,60,应用型,-,-
345,吉林财经大学,吉林,财经,61.51,60.18,63.09,60.16,应用型,-,-
345,广东医学院,广东,医药,61.51,60.31,63,60,应用型,-,-
345,国际关系学院,北京,政法,61.51,60.05,63.01,60.99,专业型,3星级,中国知名大学
345,北京信息科技大学,北京,理工,61.51,60.34,62.92,60.16,应用型,-,-
349,北华大学,吉林,综合,61.5,60.15,63.13,60,应用型,-,-
349,沈阳航空航天大学,辽宁,理工,61.5,60.24,63.01,60.16,应用型,-,-
349,北京联合大学,北京,综合,61.5,60.25,62.96,60.33,应用型,-,-
349,安徽中医药大学,安徽,医药,61.5,60.2,63.03,60.16,应用型,-,-
349,郑州轻工业学院,河南,理工,61.5,60.13,63.1,60.16,应用型,-,-
349,贵州财经大学,贵州,财经,61.5,60.23,63.05,60,应用型,-,-
349,江西中医药大学,江西,医药,61.5,60.27,63.01,60,应用型,-,-
349,西安外国语大学,陕西,语言,61.5,60.08,63.07,60.49,专业型,3星级,中国知名大学
357,延安大学,陕西,综合,61.49,60.04,63.16,60.16,应用型,-,-
357,上海工程技术大学,上海,理工,61.49,60.23,62.99,60.16,应用型,-,-
357,渤海大学,辽宁,综合,61.49,60.14,63.1,60,应用型,-,-
357,新疆财经大学,新疆,财经,61.49,60.24,63.02,60,应用型,-,-
